2021-05-07 01:59:24.006 [main] INFO  ir.sharif.aminra.Main - program started.
2021-05-07 01:59:37.856 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:37.858 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:37.859 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:37.861 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:37.861 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json opened.
2021-05-07 01:59:37.863 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json closed.
2021-05-07 01:59:37.863 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:37.865 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:37.866 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:37.867 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:37.867 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json opened.
2021-05-07 01:59:37.868 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json closed.
2021-05-07 01:59:37.875 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json opened.
2021-05-07 01:59:37.877 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json closed.
2021-05-07 01:59:37.883 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json opened.
2021-05-07 01:59:37.885 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json closed.
